Client_Name,full_date,platform_name,metric_name,metric_category,value,inferred_post,inferred_post_flag
Michigan Minds,2025-04-16,Facebook Ads,Reach,Reach,4173.0,0,1
Michigan Minds,2025-04-16,Facebook Ads,Impressions,Reach,4506.0,0,1
Michigan Minds,2025-04-16,Facebook Ads,Frequency,Reach,1.079799,0,1
Michigan Minds,2025-04-16,Facebook Ads,CPM,Cost,5.750111,0,1
Michigan Minds,2025-04-16,Facebook Ads,Clicks,Engagement,93.0,1,1
Michigan Minds,2025-04-16,Facebook Ads,Amount Spent,Cost,25.91,0,1
Michigan Minds,2025-04-16,Facebook Ads,Link Clicks,Engagement,54.0,1,1
Michigan Minds,2025-04-16,Facebook Ads,Cost_like,Cost,25.91,0,1
Michigan Minds,2025-04-16,Facebook Ads,Cost_link_click,Cost,0.479815,0,1
Michigan Minds,2025-04-16,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0,1
Michigan Minds,2025-04-16,Facebook Ads,Cost_page_engagement,Cost,0.431833,0,1
Michigan Minds,2025-04-16,Facebook Ads,Cost_post_engagement,Cost,0.439153,0,1
Michigan Minds,2025-04-16,Facebook Ads,Cost_rsvp,Cost,0.0,0,1
Michigan Minds,2025-04-16,Facebook Ads,Cost_video_view,Cost,0.0,0,1
Michigan Minds,2025-04-16,Facebook Ads,Action_comment,Action,1.0,0,1
Michigan Minds,2025-04-16,Facebook Ads,Action_like,Action,1.0,0,1
Michigan Minds,2025-04-16,Facebook Ads,Action_link_click,Action,54.0,0,1
Michigan Minds,2025-04-16,Facebook Ads,Action_onsite_conversion.messaging_welcome_message_view,Action,0.0,0,1
Michigan Minds,2025-04-16,Facebook Ads,Action_page_engagement,Action,60.0,0,1
Michigan Minds,2025-04-16,Facebook Ads,Action_post,Action,0.0,0,1
Michigan Minds,2025-04-16,Facebook Ads,Action_post_engagement,Action,59.0,0,1
Michigan Minds,2025-04-16,Facebook Ads,Action_post_reaction,Action,4.0,0,1
Michigan Minds,2025-04-16,Facebook Ads,Action_rsvp,Action,0.0,0,1
Michigan Minds,2025-04-16,Facebook Ads,Action_video_view,Action,0.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Reach,Reach,9243.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Impressions,Reach,15563.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Frequency,Reach,1.683761,0,1
Michigan Minds,2025-04-17,Facebook Ads,CPM,Cost,2.180171,0,1
Michigan Minds,2025-04-17,Facebook Ads,Clicks,Engagement,104.0,1,1
Michigan Minds,2025-04-17,Facebook Ads,Amount Spent,Cost,33.93,0,1
Michigan Minds,2025-04-17,Facebook Ads,Link Clicks,Engagement,87.0,1,1
Michigan Minds,2025-04-17,Facebook Ads,Cost_like,Cost,0.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Cost_link_click,Cost,0.39,0,1
Michigan Minds,2025-04-17,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Cost_page_engagement,Cost,0.372857,0,1
Michigan Minds,2025-04-17,Facebook Ads,Cost_post_engagement,Cost,0.372857,0,1
Michigan Minds,2025-04-17,Facebook Ads,Cost_rsvp,Cost,0.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Cost_video_view,Cost,0.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Action_comment,Action,1.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Action_like,Action,0.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Action_link_click,Action,87.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Action_onsite_conversion.messaging_welcome_message_view,Action,0.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Action_page_engagement,Action,91.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Action_post,Action,0.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Action_post_engagement,Action,91.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Action_post_reaction,Action,3.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Action_rsvp,Action,0.0,0,1
Michigan Minds,2025-04-17,Facebook Ads,Action_video_view,Action,0.0,0,1
Michigan Minds,2025-04-18,Facebook Ads,Reach,Reach,10013.0,0,1
Michigan Minds,2025-04-18,Facebook Ads,Impressions,Reach,17439.0,0,1
Michigan Minds,2025-04-18,Facebook Ads,Frequency,Reach,1.741636,0,1
Michigan Minds,2025-04-18,Facebook Ads,CPM,Cost,2.107346,0,1
Michigan Minds,2025-04-18,Facebook Ads,Clicks,Engagement,101.0,1,1
Michigan Minds,2025-04-18,Facebook Ads,Amount Spent,Cost,36.75,0,1
Michigan Minds,2025-04-18,Facebook Ads,Link Clicks,Engagement,90.0,1,1
Michigan Minds,2025-04-18,Facebook Ads,Cost_like,Cost,36.75,0,1
Michigan Minds,2025-04-18,Facebook Ads,Cost_link_click,Cost,0.408333,0,1
Michigan Minds,2025-04-18,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0,1
Michigan Minds,2025-04-18,Facebook Ads,Cost_page_engagement,Cost,0.395161,0,1
Michigan Minds,2025-04-18,Facebook Ads,Cost_post_engagement,Cost,0.399457,0,1
Michigan Minds,2025-04-18,Facebook Ads,Cost_rsvp,Cost,0.0,0,1
