Client_Name,year,month,platform_name,metric_category,total_value
APT Foundation,2025,1,Facebook Ads,Engagement,4.0
APT Foundation,2025,1,Facebook Ads,Reach,14972.473216
APT Foundation,2025,1,Facebook Pages,Engagement,39.0
APT Foundation,2025,1,Facebook Pages,Reach,4295.0
APT Foundation,2025,1,Instagram,Engagement,22.22
APT Foundation,2025,1,Instagram,Reach,50.0
APT Foundation,2025,1,Website,Engagement,53864.25
APT Foundation,2025,2,Facebook Ads,Engagement,1.0
APT Foundation,2025,2,Facebook Ads,Reach,58182.783044
APT Foundation,2025,2,Facebook Pages,Engagement,208.0
APT Foundation,2025,2,Facebook Pages,Reach,29908.0
APT Foundation,2025,2,Website,Engagement,193391.92
APT Foundation,2025,3,Facebook Ads,Engagement,1.0
APT Foundation,2025,3,Facebook Ads,Reach,58082.015851000004
APT Foundation,2025,3,Facebook Pages,Engagement,224.0
APT Foundation,2025,3,Facebook Pages,Reach,29776.0
APT Foundation,2025,3,Instagram,Engagement,49.86
APT Foundation,2025,3,Instagram,Reach,110.0
APT Foundation,2025,3,Website,Engagement,229165.92
APT Foundation,2025,4,Facebook Pages,Engagement,166.0
APT Foundation,2025,4,Facebook Pages,Reach,1485.0
APT Foundation,2025,4,Instagram,Engagement,33.3
APT Foundation,2025,4,Instagram,Reach,100.0
APT Foundation,2025,4,Website,Engagement,431596.58
Amy Hughes Photography,2025,1,Facebook Pages,Engagement,1.0
Amy Hughes Photography,2025,1,Facebook Pages,Reach,0.0
Amy Hughes Photography,2025,2,Facebook Pages,Engagement,16.0
Amy Hughes Photography,2025,2,Facebook Pages,Reach,52.0
Amy Hughes Photography,2025,3,Facebook Pages,Engagement,6.0
Amy Hughes Photography,2025,3,Facebook Pages,Reach,13.0
Amy Hughes Photography,2025,4,Facebook Pages,Engagement,3.0
Amy Hughes Photography,2025,4,Facebook Pages,Reach,5.0
Calm Nola,2025,1,Facebook Ads,Engagement,16.0
Calm Nola,2025,1,Facebook Ads,Reach,18120.227537
Calm Nola,2025,1,Website,Engagement,25329.309999999998
Calm Nola,2025,2,Facebook Ads,Engagement,32.0
Calm Nola,2025,2,Facebook Ads,Reach,36456.480744
Calm Nola,2025,2,Website,Engagement,86267.69
Calm Nola,2025,3,Facebook Ads,Engagement,25.0
Calm Nola,2025,3,Facebook Ads,Reach,38640.269292
Calm Nola,2025,3,Website,Engagement,132760.1
Calm Nola,2025,4,Website,Engagement,90129.61
Care Coalition,2025,1,Facebook Ads,Engagement,7398.0
Care Coalition,2025,1,Facebook Ads,Reach,57757.136139
Care Coalition,2025,2,Facebook Ads,Engagement,15599.0
Care Coalition,2025,2,Facebook Ads,Reach,115639.419352
Care Coalition,2025,3,Facebook Ads,Engagement,16444.0
Care Coalition,2025,3,Facebook Ads,Reach,123868.757411
Catalyst Personal Training Oceanside,2025,3,Website,Engagement,318.67
Catalyst Personal Training Oceanside,2025,4,Website,Engagement,27500.53
Conscious Business Collaborative,2025,1,Facebook Pages,Engagement,13.0
Conscious Business Collaborative,2025,1,Facebook Pages,Reach,28.0
Conscious Business Collaborative,2025,1,Instagram,Engagement,11.13
Conscious Business Collaborative,2025,1,Instagram,Reach,91.0
Conscious Business Collaborative,2025,1,Website,Engagement,2043.6599999999999
Conscious Business Collaborative,2025,2,Facebook Pages,Engagement,41.0
Conscious Business Collaborative,2025,2,Facebook Pages,Reach,232.0
Conscious Business Collaborative,2025,2,Instagram,Engagement,8.9
Conscious Business Collaborative,2025,2,Instagram,Reach,52.0
Conscious Business Collaborative,2025,2,Website,Engagement,9779.44
Conscious Business Collaborative,2025,3,Facebook Pages,Engagement,112.0
Conscious Business Collaborative,2025,3,Facebook Pages,Reach,511.0
Conscious Business Collaborative,2025,3,Instagram,Engagement,20.05
Conscious Business Collaborative,2025,3,Instagram,Reach,39.0
Conscious Business Collaborative,2025,3,Website,Engagement,210053.17
Conscious Business Collaborative,2025,4,Facebook Pages,Engagement,663.0
Conscious Business Collaborative,2025,4,Facebook Pages,Reach,54032.0
Conscious Business Collaborative,2025,4,Website,Engagement,9216.25
ManufactureCT,2025,1,Facebook Pages,Engagement,4.0
ManufactureCT,2025,1,Facebook Pages,Reach,55.0
ManufactureCT,2025,2,Facebook Pages,Engagement,42.0
ManufactureCT,2025,2,Facebook Pages,Reach,295.0
ManufactureCT,2025,3,Facebook Pages,Engagement,63.0
ManufactureCT,2025,3,Facebook Pages,Reach,484.0
ManufactureCT,2025,4,Facebook Pages,Engagement,153.0
ManufactureCT,2025,4,Facebook Pages,Reach,807.0
Matelex US,2025,1,Facebook Pages,Engagement,12.0
Matelex US,2025,1,Facebook Pages,Reach,23.0
Matelex US,2025,2,Facebook Pages,Engagement,113.0
Matelex US,2025,2,Facebook Pages,Reach,167.0
Matelex US,2025,3,Facebook Pages,Engagement,78.0
Matelex US,2025,3,Facebook Pages,Reach,77.0
Matelex US,2025,4,Facebook Pages,Engagement,65.0
Matelex US,2025,4,Facebook Pages,Reach,61.0
Michigan Minds,2025,1,Facebook Pages,Engagement,0.0
Michigan Minds,2025,1,Facebook Pages,Reach,1.0
Michigan Minds,2025,2,Facebook Pages,Engagement,3.0
Michigan Minds,2025,2,Facebook Pages,Reach,13.0
Michigan Minds,2025,3,Facebook Pages,Engagement,127.0
Michigan Minds,2025,3,Facebook Pages,Reach,253.0
Michigan Minds,2025,3,Instagram,Engagement,52.84
Michigan Minds,2025,3,Instagram,Reach,203.0
Michigan Minds,2025,4,Facebook Ads,Engagement,1702.0
Michigan Minds,2025,4,Facebook Ads,Reach,294963.680654
Michigan Minds,2025,4,Facebook Pages,Engagement,14812.0
Michigan Minds,2025,4,Facebook Pages,Reach,165593.0
Michigan Minds,2025,4,Instagram,Engagement,91.72
Michigan Minds,2025,4,Instagram,Reach,213.0
NYC TCTTAC,2025,1,Website,Engagement,3893.62
NYC TCTTAC,2025,2,Website,Engagement,73035.04000000001
NYC TCTTAC,2025,3,Website,Engagement,22566.71
NYC TCTTAC,2025,4,Website,Engagement,166661.83000000002
Parker Marketing,2025,1,Facebook Pages,Engagement,0.0
Parker Marketing,2025,1,Facebook Pages,Reach,0.0
Parker Marketing,2025,1,Instagram,Engagement,2710.2400000000002
Parker Marketing,2025,1,Instagram,Reach,2182.0
Parker Marketing,2025,1,Website,Engagement,2685.84
