fact_id,client_id,date_id,platform_id,metric_id,value
1,1,837,3,1,4173.0
2,1,837,3,2,4506.0
3,1,837,3,3,1.079799
4,1,837,3,4,5.750111
5,1,837,3,5,93.0
6,1,837,3,6,25.91
7,1,837,3,7,54.0
8,1,837,3,8,25.91
9,1,837,3,9,0.479815
10,1,837,3,10,0.0
11,1,837,3,11,0.431833
12,1,837,3,12,0.439153
13,1,837,3,13,0.0
14,1,837,3,14,0.0
15,1,837,3,15,1.0
16,1,837,3,16,1.0
17,1,837,3,17,54.0
18,1,837,3,18,0.0
19,1,837,3,19,60.0
20,1,837,3,20,0.0
21,1,837,3,21,59.0
22,1,837,3,22,4.0
23,1,837,3,23,0.0
24,1,837,3,24,0.0
25,1,838,3,1,9243.0
26,1,838,3,2,15563.0
27,1,838,3,3,1.683761
28,1,838,3,4,2.180171
29,1,838,3,5,104.0
30,1,838,3,6,33.93
31,1,838,3,7,87.0
32,1,838,3,8,0.0
33,1,838,3,9,0.39
34,1,838,3,10,0.0
35,1,838,3,11,0.372857
36,1,838,3,12,0.372857
37,1,838,3,13,0.0
38,1,838,3,14,0.0
39,1,838,3,15,1.0
40,1,838,3,16,0.0
41,1,838,3,17,87.0
42,1,838,3,18,0.0
43,1,838,3,19,91.0
44,1,838,3,20,0.0
45,1,838,3,21,91.0
46,1,838,3,22,3.0
47,1,838,3,23,0.0
48,1,838,3,24,0.0
49,1,839,3,1,10013.0
50,1,839,3,2,17439.0
51,1,839,3,3,1.741636
52,1,839,3,4,2.107346
53,1,839,3,5,101.0
54,1,839,3,6,36.75
55,1,839,3,7,90.0
56,1,839,3,8,36.75
57,1,839,3,9,0.408333
58,1,839,3,10,0.0
59,1,839,3,11,0.395161
60,1,839,3,12,0.399457
61,1,839,3,13,0.0
62,1,839,3,14,0.0
63,1,839,3,15,0.0
64,1,839,3,16,1.0
65,1,839,3,17,90.0
66,1,839,3,18,0.0
67,1,839,3,19,93.0
68,1,839,3,20,0.0
69,1,839,3,21,92.0
70,1,839,3,22,2.0
71,1,839,3,23,0.0
72,1,839,3,24,0.0
73,1,840,3,1,14561.0
74,1,840,3,2,22912.0
75,1,840,3,3,1.573518
76,1,840,3,4,1.644117
77,1,840,3,5,111.0
78,1,840,3,6,37.67
79,1,840,3,7,107.0
80,1,840,3,8,0.0
81,1,840,3,9,0.352056
82,1,840,3,10,0.0
83,1,840,3,11,0.352056
84,1,840,3,12,0.352056
85,1,840,3,13,0.0
86,1,840,3,14,0.0
87,1,840,3,15,0.0
88,1,840,3,16,0.0
89,1,840,3,17,107.0
90,1,840,3,18,0.0
91,1,840,3,19,107.0
92,1,840,3,20,0.0
93,1,840,3,21,107.0
94,1,840,3,22,0.0
95,1,840,3,23,0.0
96,1,840,3,24,0.0
97,1,841,3,1,12885.0
98,1,841,3,2,21462.0
99,1,841,3,3,1.665658
100,1,841,3,4,1.790141
101,1,841,3,5,98.0
102,1,841,3,6,38.42
103,1,841,3,7,92.0
104,1,841,3,8,0.0
105,1,841,3,9,0.417609
106,1,841,3,10,0.0
107,1,841,3,11,0.413118
108,1,841,3,12,0.413118
109,1,841,3,13,0.0
110,1,841,3,14,0.0
111,1,841,3,15,0.0
112,1,841,3,16,0.0
113,1,841,3,17,92.0
114,1,841,3,18,0.0
115,1,841,3,19,93.0
116,1,841,3,20,0.0
117,1,841,3,21,93.0
118,1,841,3,22,1.0
119,1,841,3,23,0.0
120,1,841,3,24,0.0
121,1,842,3,1,16945.0
122,1,842,3,2,27173.0
123,1,842,3,3,1.6036
124,1,842,3,4,1.37379
125,1,842,3,5,128.0
126,1,842,3,6,37.33
127,1,842,3,7,126.0
128,1,842,3,8,0.0
129,1,842,3,9,0.29627
130,1,842,3,10,0.0
131,1,842,3,11,0.293937
132,1,842,3,12,0.293937
133,1,842,3,13,0.0
134,1,842,3,14,0.0
135,1,842,3,15,0.0
136,1,842,3,16,0.0
137,1,842,3,17,126.0
138,1,842,3,18,0.0
139,1,842,3,19,127.0
140,1,842,3,20,0.0
141,1,842,3,21,127.0
142,1,842,3,22,1.0
143,1,842,3,23,0.0
144,1,842,3,24,0.0
145,1,843,3,1,17880.0
146,1,843,3,2,27705.0
147,1,843,3,3,1.549497
148,1,843,3,4,1.237322
149,1,843,3,5,100.0
150,1,843,3,6,34.28
151,1,843,3,7,89.0
152,1,843,3,8,0.0
153,1,843,3,9,0.385169
154,1,843,3,10,0.0
155,1,843,3,11,0.372609
156,1,843,3,12,0.372609
157,1,843,3,13,0.0
158,1,843,3,14,0.0
159,1,843,3,15,0.0
160,1,843,3,16,0.0
161,1,843,3,17,89.0
162,1,843,3,18,0.0
163,1,843,3,19,92.0
164,1,843,3,20,0.0
