date,forecast
2025-04-26,0.31
2025-04-27,0.75
2025-04-28,0.12333333333333334
2025-04-29,0.79
2025-04-30,0.02
2025-05-01,0.06
2025-05-02,0.33
2025-05-03,0.3
2025-05-04,0.67
2025-05-05,0.6833333333333335
2025-05-06,0.02
2025-05-07,0.79
2025-05-08,0.18
2025-05-09,0.37
2025-05-10,0.3
2025-05-11,0.665
2025-05-12,0.6833333333333335
2025-05-13,0.79
2025-05-14,0.02
2025-05-15,0.72
2025-05-16,0.29
2025-05-17,0.3
2025-05-18,0.665
2025-05-19,0.6833333333333335
2025-05-20,0.79
2025-05-21,0.79
2025-05-22,0.22
2025-05-23,0.89
2025-05-24,0.18
2025-05-25,0.6633333333333334
