Client_Name,year,month,month_name,platform_name,metric_name,metric_category,avg_value,sum_value,count_value
APT Foundation,2025,1,January,Facebook Ads,Action_comment,Action,0.0,0.0,8
APT Foundation,2025,1,January,Facebook Ads,Action_like,Action,0.0,0.0,8
APT Foundation,2025,1,January,Facebook Ads,Action_link_click,Action,0.125,1.0,8
APT Foundation,2025,1,January,Facebook Ads,Action_onsite_conversion.messaging_welcome_message_view,Action,0.0,0.0,8
APT Foundation,2025,1,January,Facebook Ads,Action_page_engagement,Action,0.125,1.0,8
APT Foundation,2025,1,January,Facebook Ads,Action_post,Action,0.0,0.0,8
APT Foundation,2025,1,January,Facebook Ads,Action_post_engagement,Action,0.125,1.0,8
APT Foundation,2025,1,January,Facebook Ads,Action_post_reaction,Action,0.0,0.0,8
APT Foundation,2025,1,January,Facebook Ads,Action_rsvp,Action,0.0,0.0,8
APT Foundation,2025,1,January,Facebook Ads,Action_video_view,Action,0.0,0.0,8
APT Foundation,2025,1,January,Facebook Ads,Amount Spent,Cost,1.9125,15.3,8
APT Foundation,2025,1,January,Facebook Ads,CPM,Cost,1.9978335,15.982668,8
APT Foundation,2025,1,January,Facebook Ads,Clicks,Engagement,0.5,4.0,8
APT Foundation,2025,1,January,Facebook Ads,Cost_like,Cost,0.0,0.0,8
APT Foundation,2025,1,January,Facebook Ads,Cost_link_click,Cost,0.22375,1.79,8
APT Foundation,2025,1,January,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0.0,8
APT Foundation,2025,1,January,Facebook Ads,Cost_page_engagement,Cost,0.22375,1.79,8
APT Foundation,2025,1,January,Facebook Ads,Cost_post_engagement,Cost,0.22375,1.79,8
APT Foundation,2025,1,January,Facebook Ads,Cost_rsvp,Cost,0.0,0.0,8
APT Foundation,2025,1,January,Facebook Ads,Cost_video_view,Cost,0.0,0.0,8
APT Foundation,2025,1,January,Facebook Ads,Frequency,Reach,1.059152,8.473216,8
APT Foundation,2025,1,January,Facebook Ads,Impressions,Reach,961.875,7695.0,8
APT Foundation,2025,1,January,Facebook Ads,Link Clicks,Engagement,0.0,0.0,8
APT Foundation,2025,1,January,Facebook Ads,Reach,Reach,908.625,7269.0,8
APT Foundation,2025,1,January,Facebook Pages,Comments,Engagement,0.0,0.0,2
APT Foundation,2025,1,January,Facebook Pages,Interactions,Engagement,0.7142857142857143,5.0,7
APT Foundation,2025,1,January,Facebook Pages,Likes,Engagement,0.14285714285714285,1.0,7
APT Foundation,2025,1,January,Facebook Pages,Page Impressions,Reach,613.5714285714286,4295.0,7
APT Foundation,2025,1,January,Facebook Pages,Page Views,Engagement,4.428571428571429,31.0,7
APT Foundation,2025,1,January,Facebook Pages,Post Likes (from feed),Engagement,1.0,2.0,2
APT Foundation,2025,1,January,Facebook Pages,Shares,Engagement,0.0,0.0,2
APT Foundation,2025,1,January,Facebook Pages,Top Post Engagement,Other,0.2857142857142857,2.0,7
APT Foundation,2025,1,January,Facebook Pages,Top Post Message,Other,0.0,0.0,1
APT Foundation,2025,1,January,Facebook Pages,Top Post URL,Other,0.0,0.0,2
APT Foundation,2025,1,January,Facebook Pages,Total Posts,Content,1.0,2.0,2
APT Foundation,2025,1,January,Instagram,Comments,Engagement,0.0,0.0,2
APT Foundation,2025,1,January,Instagram,Engagement Rate,Engagement,1.11,2.22,2
APT Foundation,2025,1,January,Instagram,Likes,Engagement,5.0,10.0,2
APT Foundation,2025,1,January,Instagram,Media Reach,Reach,25.0,50.0,2
APT Foundation,2025,1,January,Instagram,Posts Count,Content,1.0,2.0,2
APT Foundation,2025,1,January,Instagram,Saved,Engagement,0.0,0.0,2
APT Foundation,2025,1,January,Instagram,Top Post Engagement,Other,5.0,10.0,2
APT Foundation,2025,1,January,Instagram,Top Post Message,Other,0.0,0.0,1
APT Foundation,2025,1,January,Instagram,Top Post URL,Other,0.0,0.0,2
APT Foundation,2025,1,January,Instagram,Total Engagement,Engagement,5.0,10.0,2
APT Foundation,2025,1,January,Instagram,Views,Engagement,0.0,0.0,2
APT Foundation,2025,1,January,Website,Active Users,Audience,93.625,749.0,8
APT Foundation,2025,1,January,Website,Engaged Sessions,Engagement,66.875,535.0,8
APT Foundation,2025,1,January,Website,Engagement Rate (%),Engagement,56.65625,453.25,8
APT Foundation,2025,1,January,Website,Event Count,Engagement,686.0,5488.0,8
APT Foundation,2025,1,January,Website,New Users,Audience,73.625,589.0,8
APT Foundation,2025,1,January,Website,Sessions,Engagement,118.0,944.0,8
APT Foundation,2025,1,January,Website,Top Page URL,Other,0.0,0.0,8
APT Foundation,2025,1,January,Website,User Engagement Duration,Engagement,5580.875,44647.0,8
APT Foundation,2025,1,January,Website,Views,Engagement,224.625,1797.0,8
APT Foundation,2025,2,February,Facebook Ads,Action_comment,Action,0.0,0.0,24
APT Foundation,2025,2,February,Facebook Ads,Action_like,Action,0.0,0.0,24
APT Foundation,2025,2,February,Facebook Ads,Action_link_click,Action,0.0,0.0,24
APT Foundation,2025,2,February,Facebook Ads,Action_onsite_conversion.messaging_welcome_message_view,Action,0.0,0.0,24
APT Foundation,2025,2,February,Facebook Ads,Action_page_engagement,Action,0.0,0.0,24
APT Foundation,2025,2,February,Facebook Ads,Action_post,Action,0.0,0.0,24
APT Foundation,2025,2,February,Facebook Ads,Action_post_engagement,Action,0.0,0.0,24
APT Foundation,2025,2,February,Facebook Ads,Action_post_reaction,Action,0.0,0.0,24
APT Foundation,2025,2,February,Facebook Ads,Action_rsvp,Action,0.0,0.0,24
