Client_Name,full_date,platform_name,metric_name,metric_category,value,inferred_post,inferred_post_flag,year,month,top_content,media_type
Red Rock,2025-04-25,Facebook Pages,Page Impressions,Reach,13885.0,0,1,2025,4,https://www.facebook.com/136635696398329/posts/1234699235329774,LINK
Conscious Business Collaborative,2025-04-25,Facebook Pages,Top Post Engagement,Other,0.0,0,1,2025,4,https://www.facebook.com/634388143435716/posts/688818947003374,LINK
Matelex US,2025-04-25,Facebook Pages,Likes,Engagement,0.0,1,1,2025,4,https://www.facebook.com/113220441726937/posts/591217047271895,PHOTO
APT Foundation,2025-04-25,Facebook Pages,Top Post Engagement,Other,0.0,0,1,2025,4,https://www.facebook.com/107409417291777/posts/1266928515438706,PHOTO
ManufactureCT,2025-04-25,Facebook Pages,Top Post Engagement,Other,0.0,0,1,2025,4,https://www.facebook.com/103392413030353/posts/1268507485074424,PHOTO
Michigan Minds,2025-04-25,Facebook Pages,Top Post Engagement,Other,0.0,0,1,2025,4,https://www.facebook.com/119420054585889/posts/122249224352031567,PHOTO
STEP Learning Collaborative,2025-04-25,Facebook Pages,Page Impressions,Reach,11.0,0,1,2025,4,https://www.facebook.com/274708262712843/posts/971837191792807,ALBUM
The Barbell Saves Project,2025-04-25,Facebook Pages,Page Impressions,Reach,383.0,0,1,2025,4,https://www.facebook.com/433579974142681/posts/1105357081633055,PHOTO
NYC TCTTAC,2025-04-24,Website,Top Page URL,Other,0.0,0,1,2025,4,https://399523532.com/,
Red Rock,2025-04-24,Instagram,Top Post Engagement,Other,3.0,0,1,2025,4,https://www.instagram.com/p/DIbTNIOS9pr/,IMAGE
Conscious Business Collaborative,2025-04-24,Website,New Users,Audience,2.0,0,1,2025,4,https://399523532.com/symptom-check-quiz/,
Calm Nola,2025-04-24,Website,Top Page URL,Other,0.0,0,1,2025,4,https://399523532.com/symptom-check-quiz/,
Michigan Minds,2025-04-24,Instagram,Likes,Engagement,3.0,1,1,2025,4,https://www.instagram.com/p/DId3T68SlqN/,IMAGE
Catalyst Personal Training Oceanside,2025-04-24,Website,Top Page URL,Other,0.0,0,1,2025,4,https://399523532.com/symptom-check-quiz/,
Parker Marketing,2025-04-24,Website,Top Page URL,Other,0.0,0,1,2025,4,https://399523532.com/symptom-check-quiz/,
APT Foundation,2025-04-24,Website,Top Page URL,Other,0.0,0,1,2025,4,https://399523532.com/symptom-check-quiz/,
STEP Learning Collaborative,2025-04-24,Website,Views,Engagement,67.0,1,1,2025,4,https://399523532.com/symptom-check-quiz/,
The Barbell Saves Project,2025-04-23,Instagram,Saved,Engagement,0.0,1,1,2025,4,https://www.instagram.com/p/DINRaudPmJq/,IMAGE
APT Foundation,2025-04-21,Instagram,Top Post URL,Other,0.0,0,1,2025,4,https://www.instagram.com/p/DH5-iWihnJs/,IMAGE
Parker Marketing,2025-04-21,Instagram,Likes,Engagement,4.0,1,1,2025,4,https://www.instagram.com/p/DIRdFqXPJs3/,IMAGE
STEP Learning Collaborative,2025-04-19,Instagram,Posts Count,Content,1.0,0,1,2025,4,https://www.instagram.com/p/DIRBHOYvh4C/,IMAGE
ManufactureCT,2025-03-31,Facebook Pages,Interactions,Engagement,0.0,1,1,2025,3,https://www.facebook.com/103392413030353/posts/1254798653111974,PHOTO
Matelex US,2025-03-31,Facebook Pages,Page Views,Engagement,0.0,1,1,2025,3,https://www.facebook.com/113220441726937/posts/581238588269741,PHOTO
Conscious Business Collaborative,2025-03-31,Facebook Pages,Page Views,Engagement,3.0,1,1,2025,3,https://www.facebook.com/634388143435716/posts/666484485903487,PHOTO
Calm Nola,2025-03-31,Website,Views,Engagement,142.0,1,1,2025,3,https://399523532.com/symptom-check-quiz/,
Conscious Business Collaborative,2025-03-31,Website,New Users,Audience,5.0,0,1,2025,3,https://399523532.com/pathway-to-care/,
Red Rock,2025-03-31,Facebook Pages,Page Impressions,Reach,11.0,0,1,2025,3,https://www.facebook.com/136635696398329/posts/1205685458231152,PHOTO
Parker Marketing,2025-03-31,Facebook Pages,Page Views,Engagement,0.0,1,1,2025,3,https://www.facebook.com/108419461596353/posts/3834236153454809,PHOTO
